Class,Lambda,Lambda_t,H,H_t,Zeta
3,0.048,0.076923077,0.277839574,0.391243564,0.218181818
1,0,0,0,0,0.2
3,0.992,0.923076923,1.395155019,1.891995487,0.746666667
3,0.912,0.846153846,1.68958158,2.038159682,2.616666667
2,0.864,0.769230769,1.76099687,2.075869297,1.95
2,0.744,0.692307692,1.898420837,2.10390991,1.7
2,0.72,0.615384615,1.908257316,2.075869297,1.75
2,0.712,0.538461538,1.855518161,1.775858948,1.68
2,0.568,0.461538462,1.74681436,1.669180337,2.3
1,0.488,0.384615385,1.426680009,1.334679141,2.242857143
1,0.368,0.307692308,1.077120676,1.140115679,0.8
1,0.32,0.230769231,1.027361152,0.991264261,0.466666667
1,0.296,0.153846154,0.876346229,0.619382195,0.44
1,0.152,0.076923077,0.614822757,0.391243564,0.218181818
1,0,0,0,0,0.2
3,0.992,0.923076923,1.853120015,2.199687795,1.666666667
2,0.84,0.846153846,2.085810764,2.257756064,3.566666667
3,0.816,0.769230769,2.049140259,2.199687795,3.266666667
3,0.768,0.692307692,1.878502269,1.950063756,2.9
3,0.744,0.615384615,1.873630124,1.884313528,2.616666667
2,0.6,0.538461538,1.883680678,1.833927218,2.54
2,0.52,0.461538462,1.693837468,1.669180337,1.066666667
3,0.4,0.384615385,1.45487073,1.488525295,0.814285714
1,0.352,0.307692308,1.208017342,1.140115679,0.775
1,0.208,0.230769231,0.937579594,0.991264261,1.044444444
1,0.2,0.153846154,0.916118214,0.773228349,0.24
1,0.12,0.076923077,0.529360865,0.391243564,0.218181818
1,0,0,0,0,0.2
3,0.992,0.923076923,1.198237878,1.614330835,0.8
3,0.968,0.846153846,1.172276978,1.460484681,1
3,0.824,0.769230769,1.478981758,1.548580607,1.6
3,0.744,0.692307692,1.561606733,1.57662122,1.633333333
3,0.592,0.615384615,1.556158985,1.548580607,1.75
3,0.584,0.538461538,1.553942023,1.52623491,1.813333333
3,0.536,0.461538462,1.530102018,1.457265914,1.8
